Date,Year,Quarter,SPX,SPX 1Q post,spx perf
12/31/2012,2012,4,1426.19,1569.19,na
3/31/2013,2013,1,1569.19,1606.28,10%
6/30/2013,2013,2,1606.28,1681.55,2%
9/30/2013,2013,3,1681.55,1848.36,5%
12/31/2013,2013,4,1848.36,1872.34,10%
3/31/2014,2014,1,1872.34,1960.23,1%
6/30/2014,2014,2,1960.23,1972.29,5%
9/30/2014,2014,3,1972.29,2058.9,1%
12/31/2014,2014,4,2058.9,2067.89,4%
3/31/2015,2015,1,2067.89,2063.11,0%
6/30/2015,2015,2,2063.11,1920.03,0%
9/30/2015,2015,3,1920.03,2043.94,-7%
12/31/2015,2015,4,2043.94,2059.74,6%
3/31/2016,2016,1,2059.74,2098.86,1%
6/30/2016,2016,2,2098.86,2168.27,2%
9/30/2016,2016,3,2168.27,2238.83,3%
12/31/2016,2016,4,2238.83,2362.72,3%
3/31/2017,2017,1,2362.72,2423.41,6%
6/30/2017,2017,2,2423.41,2519.36,3%
9/30/2017,2017,3,2519.36,2673.61,4%
12/31/2017,2017,4,2673.61,2640.87,6%
3/31/2018,2018,1,2640.87,2718.37,-1%
6/30/2018,2018,2,2718.37,2913.98,3%
9/30/2018,2018,3,2913.98,2506.85,7%
12/31/2018,2018,4,2506.85,2834.4,-14%
3/31/2019,2019,1,2834.4,2941.76,13%
6/30/2019,2019,2,2941.76,2976.74,4%
